
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;godfond sverige & världen;goldman sachs asia equity income p;goldman sachs global equity impact opportunities p;goldman sachs global social impact equity p;goldman sachs greater china equity p;goldman sachs green bond p;goldman sachs japan equity p (former nn);goldman sachs protection p;handelsbanken amerika tema a1;handelsbanken asien tema a1;handelsbanken developed markets index criteria a1;handelsbanken emerging markets index a1;handelsbanken europa index criteria a1;handelsbanken global index criteria a1;handelsbanken global småbolag index criteria a1;handelsbanken global tema a1;handelsbanken hälsovård tema a1;
2023-04-17;-0,085;;-0,010;;-0,046;-0,035;-0,074;-0,025;-0,122;-0,040;;-0,057;-0,078;-0,102;-0,063;-0,065;0,021;
2023-04-18;-0,085;;-0,013;;-0,046;-0,034;-0,072;-0,026;-0,121;-0,042;;-0,059;-0,077;-0,101;-0,062;-0,064;0,019;
2023-04-19;-0,086;;-0,013;;-0,053;-0,035;-0,076;-0,025;-0,124;-0,047;;-0,064;-0,078;-0,104;-0,064;-0,067;0,017;
2023-04-20;-0,088;;-0,014;;-0,052;-0,034;-0,074;-0,024;-0,123;-0,047;;-0,063;-0,078;-0,104;-0,064;-0,068;0,016;
2023-04-21;-0,089;;-0,012;;-0,063;-0,035;-0,072;-0,024;-0,122;-0,051;;-0,067;-0,077;-0,104;-0,064;-0,066;0,022;
2023-04-24;-0,088;;-0,013;;-0,070;-0,035;-0,073;-0,025;-0,123;-0,056;;-0,071;-0,075;-0,106;-0,065;-0,068;0,020;
2023-04-25;;;;;;;;;;;;;;;;;;
2023-04-26;-0,093;;-0,027;;-0,082;-0,032;-0,083;-0,026;-0,130;-0,061;;-0,075;-0,079;-0,110;-0,073;-0,075;0,011;
2023-04-27;-0,088;;-0,017;;-0,077;-0,034;-0,075;-0,022;-0,127;-0,059;;-0,073;-0,077;-0,108;-0,072;-0,072;0,012;
2023-04-28;-0,086;;-0,014;;-0,075;-0,030;-0,070;-0,022;-0,121;-0,056;;-0,069;-0,076;-0,104;-0,067;-0,068;0,015;
2023-05-02;-0,090;;-0,020;;-0,081;-0,029;-0,083;-0,027;-0,117;-0,056;;-0,070;-0,077;-0,102;-0,068;-0,066;0,021;
2023-05-03;-0,091;;-0,020;;-0,082;-0,029;;-0,025;-0,123;-0,062;;-0,074;-0,077;-0,105;-0,070;-0,067;0,019;
2023-05-04;-0,092;;-0,020;;-0,082;-0,028;;-0,026;-0,129;-0,058;;-0,071;-0,080;-0,109;-0,076;-0,070;0,016;
2023-05-05;-0,090;;-0,021;;-0,080;-0,030;;-0,027;-0,128;-0,062;;-0,072;-0,080;-0,108;-0,075;-0,071;0,015;
2023-05-08;-0,090;;-0,023;;-0,083;-0,031;-0,079;-0,029;-0,129;-0,062;;-0,071;-0,078;-0,109;-0,075;-0,072;0,014;
2023-05-09;-0,092;;-0,024;;-0,088;-0,032;-0,072;-0,031;-0,126;-0,064;;-0,072;-0,081;-0,108;-0,076;-0,072;0,015;
2023-05-10;-0,092;;-0,023;;-0,087;-0,030;-0,075;-0,031;-0,123;-0,063;;-0,072;-0,080;-0,106;-0,073;-0,070;0,014;
2023-05-11;-0,089;;-0,021;;-0,084;-0,028;-0,071;-0,030;-0,118;-0,060;;-0,068;-0,080;-0,104;-0,071;-0,067;0,018;
2023-05-12;-0,088;;-0,017;;-0,086;-0,029;-0,064;-0,028;-0,116;-0,063;;-0,069;-0,076;-0,102;-0,069;-0,065;0,022;
2023-05-15;-0,086;;-0,014;;-0,077;-0,030;-0,060;-0,026;-0,116;-0,058;;-0,066;-0,074;-0,101;-0,067;-0,063;0,022;
2023-05-16;-0,088;;-0,021;;-0,077;-0,032;-0,059;-0,028;-0,114;-0,056;;-0,064;-0,075;-0,100;-0,068;-0,064;0,020;
2023-05-17;-0,085;;-0,017;;-0,074;-0,032;-0,056;-0,025;-0,111;-0,054;;-0,061;-0,074;-0,097;-0,066;-0,062;0,020;
2023-05-19;-0,078;;-0,010;;-0,071;-0,034;-0,047;-0,021;-0,097;-0,050;;-0,057;-0,065;-0,087;-0,055;-0,052;0,029;
2023-05-22;-0,078;;-0,009;;-0,067;-0,035;-0,046;-0,021;-0,098;-0,047;;-0,054;-0,066;-0,088;-0,057;-0,053;0,028;
2023-05-23;-0,080;;-0,012;;-0,070;-0,035;-0,052;-0,020;-0,098;-0,047;;-0,054;-0,066;-0,087;-0,053;-0,052;0,028;
2023-05-24;-0,084;;-0,016;;-0,074;-0,035;-0,053;-0,020;-0,103;-0,048;;-0,054;-0,073;-0,091;-0,060;-0,056;0,023;
2023-05-25;-0,082;;-0,012;;-0,071;-0,036;-0,048;-0,018;-0,092;-0,045;;-0,052;-0,069;-0,085;-0,055;-0,050;0,024;
2023-05-26;;;-0,007;;;;;;-0,088;;;;;-0,082;-0,056;-0,049;0,026;
2023-05-29;-0,077;;;;-0,064;-0,034;-0,047;-0,014;;-0,039;;-0,047;-0,065;;;;;
