
# ;[];[];[];[];[];[];[];[];[];[];[];[];[seb aktiespar][seb aktiesparfond];[];[];[seb choice emerging markets][seb emerg market][seb emerging mark][seb emerging markets][seb emerging markets fund][seb emerging marketsfond];[];
# ;pictet indian equities r;pictet japanese equity opportunities r;pictet premium brands r;pictet security r;pictet timber r;pictet water r;pictet-emerging corporate bonds r ;prior & nilsson realinvest a;prior & nilsson sverige aktiv a;s-banken emerging markets esg aktie a;s-banken fenno aktie a;s-banken usa aktie a;seb aktiespar;seb asienfond ex japan;seb asset selection fund c;seb choice emerging markets;seb dynamic bond fund c;
2024-03-06;-0,006;0,021;0,049;0,029;0,083;0,042;0,002;0,001;0,009;-0,007;-0,010;0,001;-0,009;-0,022;0,113;-0,005;-0,034;
2024-03-07;-0,009;0,020;0,048;0,027;0,084;0,042;-0,001;0,008;0,014;-0,011;-0,007;0,003;-0,007;-0,024;0,112;-0,005;-0,034;
2024-03-08;;0,014;0,050;0,029;0,083;0,040;;0,018;0,017;-0,009;-0,008;-0,002;-0,004;-0,024;0,112;-0,004;-0,032;
2024-03-11;;;;;;;-0,002;0,022;0,016;-0,005;-0,009;-0,001;-0,010;-0,020;0,107;-0,001;-0,032;
2024-03-12;-0,013;0,010;0,052;0,025;0,084;0,039;-0,003;0,020;0,022;0,002;-0,006;0,003;-0,004;-0,015;0,112;0,002;-0,032;
2024-03-13;-0,021;0,004;0,055;0,024;0,086;0,040;-0,002;0,026;0,023;0,002;-0,006;0,002;-0,004;-0,018;0,112;0,001;-0,032;
2024-03-14;-0,016;0,004;0,057;0,018;0,081;0,040;-0,003;0,026;0,023;0,002;-0,009;0,003;-0,001;-0,015;0,114;0,006;-0,033;
2024-03-15;-0,012;0,010;0,058;0,020;0,087;0,044;0,002;0,025;0,025;-0,004;-0,007;0,001;-0,003;-0,020;0,114;0,001;-0,034;
2024-03-18;-0,012;0,018;0,055;0,022;0,084;0,043;0,002;0,024;0,021;-0,000;-0,007;0,005;-0,001;-0,016;0,118;0,006;-0,034;
2024-03-19;-0,011;0,022;0,057;0,023;0,091;0,048;0,007;0,029;0,024;0,001;-0,002;0,011;-0,003;-0,021;0,121;0,001;-0,033;
2024-03-20;-0,012;;0,057;0,026;0,095;0,052;0,007;0,032;0,025;0,003;-0,003;0,015;0,001;-0,018;0,120;0,005;-0,033;
2024-03-21;-0,011;0,027;0,058;0,034;0,103;0,058;0,006;0,042;0,031;0,007;0,000;0,016;0,006;-0,013;0,126;0,011;-0,033;
2024-03-22;-0,007;0,031;0,054;0,034;0,107;0,060;;0,046;0,032;0,007;0,003;0,020;0,008;-0,014;;;-0,032;
2024-03-25;;;;;;;0,014;;;;;;;;0,125;0,010;;
2024-03-26;-0,003;0,029;0,059;0,034;0,111;0,060;0,012;0,051;0,033;0,009;0,007;0,021;0,009;-0,012;0,125;0,013;-0,032;
2024-03-27;-0,001;0,030;0,060;0,035;0,114;0,062;0,016;0,056;0,031;0,009;0,009;0,025;0,009;-0,014;0,127;0,012;-0,031;
2024-03-28;0,006;0,035;0,066;0,043;0,119;0,067;0,018;0,059;0,028;0,015;0,010;0,029;0,012;-0,011;0,127;0,016;;
2024-04-02;0,010;0,029;0,061;0,036;0,115;0,064;0,022;0,053;0,028;0,022;0,011;0,029;0,009;0,000;0,125;0,024;-0,032;
2024-04-03;0,007;0,028;0,055;0,037;0,113;0,061;0,020;0,053;0,029;0,014;0,012;0,026;0,009;-0,006;0,123;0,019;-0,032;
2024-04-04;0,007;0,028;0,052;0,037;0,113;0,061;0,016;0,053;0,029;0,014;0,017;0,017;0,008;;0,122;;-0,032;
