
# ;[];[];[];[];[];[];[];[];[];[kotak funds - india growth fund][kotak funds - india esg a];[];[kpa blandfond][kpa etisk blandfond 2];[];[];[];[];[];
# ;holberg global a;holberg norden;holberg norge;humle småbolagsfond a;indecap guide 1 c;indecap guide 2 c;indecap guide sverige c;jpmorgan china a;jpmorgan funds - europe sustainable equity fund;kotak funds - india growth fund;kotak funds - india midcap a;kpa blandfond;lannebo europa småbolag a;lannebo mixfond;lannebo mixfond offensiv a;lannebo räntefond kort;lannebo småbolag;
2024-01-03;-0,034;-0,051;-0,075;-0,042;;;;-0,038;;-0,014;-0,016;-0,031;-0,031;-0,013;-0,012;-0,026;-0,052;
2024-01-04;;;;;-0,011;-0,023;-0,025;;;;;;;;;;;
2024-01-05;-0,030;-0,045;-0,069;-0,044;-0,012;-0,025;-0,028;-0,041;;-0,006;-0,008;-0,034;-0,031;-0,012;-0,010;-0,026;-0,053;
2024-01-08;-0,021;-0,039;-0,069;-0,038;-0,011;-0,021;-0,025;-0,049;;-0,007;-0,010;-0,032;-0,029;-0,009;-0,006;-0,026;-0,048;
2024-01-09;-0,024;-0,042;-0,074;-0,038;-0,011;-0,022;-0,026;-0,053;;-0,008;-0,012;-0,032;-0,028;-0,012;-0,010;-0,026;-0,048;
2024-01-10;-0,019;-0,040;-0,073;-0,038;-0,011;-0,023;-0,027;-0,054;;-0,008;-0,011;-0,032;-0,030;-0,013;-0,011;-0,026;-0,051;
2024-01-11;-0,023;-0,047;-0,075;-0,043;-0,011;-0,022;-0,028;-0,050;;-0,008;-0,009;-0,030;-0,028;-0,011;-0,010;-0,025;-0,048;
2024-01-12;-0,021;-0,040;-0,065;-0,036;-0,010;-0,020;-0,024;-0,050;;-0,003;-0,004;-0,029;-0,027;-0,010;-0,008;-0,025;-0,045;
2024-01-15;;-0,042;-0,070;-0,044;-0,010;;-0,027;-0,054;;0,000;-0,002;-0,030;-0,031;-0,014;-0,012;-0,025;-0,053;
2024-01-16;-0,016;-0,042;-0,067;-0,045;-0,010;-0,022;-0,031;-0,054;;0,003;0,000;-0,030;-0,030;-0,016;-0,016;-0,025;-0,055;
2024-01-17;-0,018;-0,046;-0,070;-0,052;-0,010;-0,025;-0,035;-0,069;;-0,001;-0,002;-0,034;-0,034;-0,021;-0,022;-0,025;-0,066;
2024-01-18;-0,014;-0,044;-0,068;-0,049;-0,010;-0,024;-0,034;-0,062;;-0,002;-0,004;-0,032;-0,029;-0,018;-0,018;-0,025;-0,058;
2024-01-19;-0,012;-0,045;-0,068;-0,053;-0,010;-0,025;-0,037;-0,064;;0,004;0,003;-0,031;-0,030;-0,019;-0,019;-0,025;-0,062;
2024-01-22;-0,013;-0,042;-0,066;-0,051;-0,010;-0,023;-0,033;-0,076;;;;-0,028;-0,029;-0,016;-0,016;-0,025;-0,062;
2024-01-23;-0,011;-0,043;-0,064;-0,049;-0,010;-0,021;-0,032;;;-0,004;-0,010;-0,027;-0,027;-0,014;-0,012;-0,024;-0,057;
2024-01-24;-0,011;-0,039;-0,063;-0,045;-0,010;-0,021;-0,030;;;0,001;-0,001;-0,027;-0,026;-0,013;-0,011;-0,024;-0,057;
2024-01-25;-0,008;-0,038;-0,064;-0,041;;;;;;-0,004;-0,007;-0,026;-0,025;-0,011;-0,009;-0,024;-0,053;
2024-01-26;;;;;-0,009;-0,016;-0,024;;;;;;;;;;;
2024-01-29;-0,002;-0,034;-0,061;-0,038;-0,008;-0,014;-0,025;-0,058;;0,003;0,001;-0,024;-0,020;-0,010;-0,008;-0,024;-0,048;
2024-01-30;-0,005;-0,036;-0,067;-0,037;-0,009;-0,014;-0,024;-0,073;;-0,003;-0,004;-0,024;-0,020;-0,011;-0,010;-0,024;-0,045;
2024-01-31;-0,012;-0,031;-0,068;-0,034;-0,009;-0,017;-0,024;-0,080;;0,003;0,004;-0,025;-0,020;-0,012;-0,010;-0,024;-0,042;
2024-02-01;-0,010;-0,033;-0,070;-0,036;-0,008;-0,015;-0,025;-0,072;;0,005;0,004;-0,024;-0,019;-0,012;-0,011;-0,024;-0,039;
2024-02-02;0,006;-0,029;-0,071;-0,037;;;;-0,082;;0,002;0,002;-0,022;-0,018;-0,014;-0,013;-0,024;-0,038;
2024-02-05;;;;;-0,008;-0,013;-0,028;;;;;;;;;;;
2024-02-06;0,006;-0,032;-0,069;-0,033;-0,008;-0,011;-0,025;-0,050;;0,013;0,014;-0,023;-0,019;-0,016;-0,015;-0,023;-0,039;
2024-02-07;0,008;-0,032;-0,074;-0,028;-0,009;-0,012;-0,024;-0,054;;0,010;0,010;-0,023;-0,024;-0,014;-0,013;-0,023;-0,031;
2024-02-08;0,008;-0,030;-0,076;-0,026;-0,009;-0,012;-0,025;-0,056;;;;-0,022;-0,023;-0,015;-0,014;-0,023;-0,027;
2024-02-09;0,008;-0,033;-0,078;-0,031;-0,009;-0,013;-0,025;-0,060;;0,006;0,005;-0,024;-0,025;-0,015;-0,014;-0,023;-0,033;
2024-02-12;0,009;-0,030;-0,071;-0,027;-0,009;-0,012;-0,023;;;0,002;-0,000;-0,023;-0,025;-0,013;-0,012;-0,023;-0,031;
2024-02-13;0,010;-0,030;-0,072;-0,031;-0,009;-0,012;-0,024;;;0,002;0,002;-0,024;-0,025;-0,015;-0,015;-0,022;-0,039;
2024-02-14;0,012;-0,031;-0,073;-0,028;-0,009;-0,011;-0,023;-0,051;;0,009;0,009;-0,023;-0,023;-0,014;-0,013;-0,022;-0,033;
2024-02-15;0,011;-0,029;-0,075;-0,020;-0,009;-0,008;-0,019;-0,053;;0,008;0,009;-0,021;-0,022;-0,010;-0,008;-0,022;-0,028;
2024-02-16;0,008;-0,025;-0,073;-0,014;-0,009;-0,007;-0,015;-0,046;;0,008;0,011;-0,020;-0,021;-0,007;-0,005;-0,022;-0,024;
2024-02-19;;-0,027;-0,074;-0,013;-0,009;;-0,015;-0,050;;;;-0,021;-0,022;-0,008;-0,006;-0,022;-0,026;
2024-02-20;0,005;-0,030;-0,079;-0,017;-0,008;-0,008;-0,015;-0,050;;0,010;0,009;-0,022;-0,025;-0,010;-0,008;-0,022;-0,029;
2024-02-21;0,003;-0,032;-0,081;-0,021;-0,009;-0,008;-0,015;-0,044;;0,007;0,004;-0,023;-0,026;-0,009;-0,007;-0,022;-0,031;
2024-02-22;0,014;-0,030;-0,080;-0,017;-0,009;-0,005;-0,014;-0,043;;0,005;0,004;-0,020;-0,022;-0,006;-0,003;-0,022;-0,025;
2024-02-23;0,013;-0,032;-0,081;-0,017;;;;-0,040;;0,008;0,007;-0,018;-0,022;-0,004;-0,001;-0,022;-0,025;
2024-02-26;;;;;-0,009;-0,006;-0,013;;;;;;;;;;;
2024-02-27;0,011;-0,032;-0,080;-0,018;-0,009;-0,004;-0,011;-0,040;;0,006;0,003;-0,019;-0,025;-0,003;0,000;-0,021;-0,027;
2024-02-28;0,010;-0,031;-0,081;-0,020;-0,009;-0,003;-0,009;-0,045;;0,005;0,000;-0,019;-0,026;-0,003;0,000;-0,021;-0,031;
2024-02-29;0,011;-0,031;-0,078;-0,017;-0,009;-0,003;-0,009;-0,044;;0,005;0,003;-0,018;-0,024;-0,002;0,002;-0,021;-0,028;
2024-03-01;0,012;-0,028;-0,074;-0,010;-0,009;-0,000;-0,005;-0,038;;0,010;0,007;-0,016;-0,023;-0,001;0,002;-0,021;-0,024;
2024-03-04;0,015;-0,025;-0,075;-0,013;;;;-0,039;;0,010;0,006;-0,015;-0,020;-0,001;0,002;-0,021;-0,024;
2024-03-05;;;;;-0,008;-0,001;-0,007;;;;;;;;;;;
2024-03-06;0,011;-0,028;-0,078;-0,018;-0,008;-0,000;-0,005;-0,042;;0,010;0,004;-0,015;-0,017;-0,002;0,002;-0,021;-0,028;
2024-03-07;0,016;-0,025;-0,077;-0,015;-0,007;0,002;-0,002;-0,053;;0,007;0,002;-0,014;-0,017;-0,001;0,003;-0,021;-0,029;
2024-03-08;0,013;-0,023;-0,075;-0,012;-0,007;0,003;0,000;-0,051;;;;-0,012;-0,017;0,001;0,006;-0,021;-0,025;
2024-03-11;;;;-0,015;-0,007;0,002;-0,001;-0,042;;0,001;-0,002;-0,014;-0,019;0,000;0,004;-0,020;-0,028;
2024-03-12;0,018;-0,018;-0,076;-0,012;-0,006;0,008;0,005;-0,030;;0,001;-0,007;-0,010;-0,015;0,005;0,010;-0,020;-0,025;
2024-03-13;0,014;-0,020;-0,077;-0,012;-0,006;0,008;0,006;-0,031;;-0,007;-0,020;-0,010;-0,014;0,005;0,010;-0,020;-0,022;
2024-03-14;0,017;-0,018;-0,074;-0,012;-0,006;0,009;0,006;-0,035;;-0,003;-0,012;;-0,015;0,004;0,009;-0,020;-0,022;
2024-03-15;0,017;-0,015;-0,072;-0,013;-0,006;0,008;0,007;-0,034;;-0,001;-0,011;-0,009;-0,015;0,006;0,011;-0,020;-0,020;
2024-03-18;0,020;-0,015;-0,071;-0,016;-0,006;0,007;0,002;-0,030;;0,000;-0,011;-0,010;-0,017;0,002;0,007;-0,020;-0,021;
2024-03-19;0,021;-0,013;-0,070;-0,011;-0,006;0,009;0,004;-0,031;;0,001;-0,011;-0,010;-0,017;0,002;0,007;-0,020;-0,021;
2024-03-20;0,022;-0,015;-0,071;-0,011;-0,006;0,010;0,004;-0,030;;0,000;-0,010;-0,008;-0,016;0,004;0,008;-0,020;-0,016;
2024-03-21;0,027;-0,010;-0,068;0,000;-0,006;0,015;0,011;-0,031;;0,004;-0,004;-0,003;-0,013;0,009;0,015;-0,020;-0,005;
2024-03-22;0,029;-0,011;-0,069;0,000;;;;-0,034;;0,009;0,002;-0,001;-0,009;0,009;0,015;-0,020;-0,003;
2024-03-25;;;;;-0,005;0,016;0,011;;;;;;;;;;;
2024-03-26;0,028;-0,005;-0,060;0,005;-0,004;0,018;0,014;-0,033;;0,011;0,008;-0,001;-0,006;0,009;0,015;-0,019;-0,004;
2024-03-27;;;;0,007;-0,003;0,019;0,013;-0,038;;0,016;0,010;-0,000;-0,005;0,011;0,017;-0,019;0,002;
2024-03-28;;;;0,007;-0,003;0,019;0,011;-0,028;;;;0,000;-0,002;0,011;0,018;-0,019;0,002;
2024-04-02;0,030;-0,006;-0,056;0,005;-0,004;0,017;0,010;-0,017;;0,028;0,029;-0,002;-0,004;0,011;0,017;-0,019;0,002;
2024-04-03;0,029;-0,003;-0,055;0,004;-0,004;0,016;0,011;-0,024;;0,024;0,027;-0,002;-0,005;0,010;0,016;-0,019;-0,000;
2024-04-04;0,028;-0,001;-0,054;0,004;-0,005;0,015;0,012;;;0,021;0,024;-0,002;-0,004;0,011;0,017;-0,019;-0,001;
2024-04-05;0,031;-0,003;-0,054;-0,002;-0,005;0,015;0,010;-0,029;;0,023;0,028;-0,004;-0,004;0,007;0,012;-0,018;-0,005;
2024-04-08;0,028;-0,001;-0,058;0,002;-0,006;0,015;0,013;-0,032;;0,024;0,027;-0,003;-0,000;0,009;0,015;-0,018;-0,000;
2024-04-09;0,029;-0,004;-0,050;-0,003;-0,006;0,014;0,010;-0,030;;;;-0,004;-0,001;0,009;0,015;-0,018;-0,002;
2024-04-10;0,032;-0,004;-0,050;-0,005;-0,005;0,015;0,011;-0,027;;0,024;0,027;-0,004;-0,001;0,006;0,011;-0,018;-0,009;
2024-04-11;0,034;-0,004;-0,052;-0,006;-0,006;0,014;0,007;-0,021;;;;-0,004;0,001;0,006;0,011;-0,018;-0,010;
