
# ;[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];[];
# ;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;seligson & co global top 25 pharmaceuticals a;
2023-04-18;-0,075;-0,023;;-0,084;-0,054;-0,038;-0,015;-0,024;-0,060;-0,066;-0,008;-0,046;-0,046;-0,163;-0,015;0,006;0,064;
2023-04-19;-0,077;-0,024;;-0,086;-0,055;-0,038;-0,017;-0,027;-0,064;-0,067;-0,009;-0,048;-0,048;-0,161;-0,015;0,008;0,062;
2023-04-20;-0,078;-0,027;;-0,087;-0,055;-0,037;-0,018;-0,025;-0,066;-0,068;-0,009;-0,051;-0,051;-0,159;-0,014;0,008;0,062;
2023-04-21;-0,077;-0,026;;-0,086;-0,055;-0,037;-0,012;-0,023;-0,066;-0,068;-0,009;-0,049;-0,050;-0,161;-0,015;0,009;0,063;
2023-04-24;-0,079;-0,026;;-0,088;;;-0,015;-0,025;-0,064;;-0,010;-0,046;-0,047;;-0,016;0,011;0,065;
2023-04-25;;;;;-0,055;-0,036;;;;-0,069;;;;-0,165;;;;
2023-04-26;-0,086;-0,033;;-0,095;-0,056;-0,036;-0,026;-0,034;-0,070;-0,070;-0,007;-0,053;-0,053;-0,167;-0,012;0,007;0,062;
2023-04-27;-0,084;-0,029;;-0,093;-0,056;-0,037;-0,024;-0,034;-0,066;-0,068;-0,008;-0,045;-0,044;-0,159;-0,011;0,008;0,059;
2023-04-28;-0,081;-0,023;;-0,090;-0,055;-0,035;-0,019;-0,028;-0,067;-0,067;-0,007;-0,044;-0,043;-0,163;-0,010;0,014;0,061;
2023-05-02;-0,078;-0,026;;-0,087;-0,055;-0,035;-0,011;-0,028;-0,068;-0,068;-0,008;-0,046;-0,046;-0,167;-0,013;0,013;0,061;
2023-05-03;-0,082;-0,025;;-0,091;-0,055;-0,035;-0,014;-0,030;-0,070;-0,069;-0,007;-0,047;-0,045;;-0,008;0,013;0,062;
2023-05-04;-0,088;-0,018;;-0,098;-0,056;-0,034;-0,017;-0,035;-0,074;-0,070;-0,006;-0,047;-0,045;-0,169;-0,009;0,010;0,061;
2023-05-05;-0,088;-0,016;;-0,097;-0,056;-0,035;-0,018;-0,034;-0,073;-0,069;-0,006;-0,046;-0,044;-0,170;-0,012;0,007;0,059;
2023-05-08;-0,088;-0,018;;-0,098;-0,056;-0,035;-0,020;-0,037;-0,069;-0,070;-0,007;-0,046;-0,045;-0,168;-0,016;0,009;0,059;
2023-05-09;-0,086;-0,021;;-0,096;;;-0,019;-0,035;-0,074;;;-0,051;;;-0,017;0,010;0,058;
2023-05-10;-0,087;-0,021;;-0,096;-0,055;-0,035;-0,018;-0,033;-0,075;-0,069;-0,005;-0,055;-0,054;-0,166;-0,017;0,008;0,058;
2023-05-11;-0,084;-0,016;;-0,094;-0,055;-0,034;-0,014;-0,031;-0,073;-0,067;-0,003;-0,048;-0,047;-0,163;-0,013;0,012;0,060;
2023-05-12;-0,081;-0,014;;-0,090;-0,056;-0,035;-0,010;-0,030;-0,069;-0,067;-0,002;-0,046;-0,045;-0,159;-0,012;0,017;0,062;
2023-05-15;-0,081;-0,010;;-0,090;-0,055;-0,035;-0,009;-0,029;-0,068;-0,066;-0,003;-0,045;-0,044;-0,162;-0,011;0,019;0,064;
2023-05-16;-0,080;-0,012;;-0,089;-0,056;-0,035;-0,011;-0,029;-0,071;-0,067;-0,003;-0,048;-0,047;-0,161;-0,013;0,015;0,063;
2023-05-17;-0,078;-0,012;;-0,087;-0,056;;-0,010;-0,025;-0,071;-0,065;;-0,047;;-0,162;-0,011;0,018;0,064;
2023-05-19;-0,068;-0,005;;-0,076;-0,056;-0,037;-0,001;-0,011;-0,065;-0,062;-0,004;-0,038;-0,037;-0,156;-0,014;0,024;0,066;
2023-05-22;-0,069;-0,006;;-0,077;-0,056;-0,037;0,000;-0,014;-0,066;-0,061;-0,003;-0,041;-0,040;-0,153;-0,012;0,022;0,070;
2023-05-23;-0,070;-0,005;;-0,079;-0,056;-0,037;0,002;-0,012;-0,065;-0,063;-0,004;-0,041;-0,040;-0,150;-0,012;0,019;0,071;
