
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;sensor sverige select;simplicity företagsobligationer a;simplicity global corporate bond a;simplicity likviditet a;skagen focus d;skagen global e;skagen kon-tiki f;skagen m2 c;skagen vekst c;skandia balanserad;skandia europa exponering;skandia försiktig;skandia global exponering a;skandia japan exponering;skandia korträntefond;skandia nordamerika exponering;skandia obligationsfond;
2023-02-17;-0,038;-0,060;-0,063;-0,041;-0,003;-0,077;-0,027;0,008;-0,072;-0,062;-0,081;-0,053;-0,104;-0,077;-0,036;-0,114;-0,040;
2023-02-20;-0,039;-0,059;-0,063;-0,041;-0,007;;-0,031;0,005;-0,075;-0,066;-0,086;-0,056;;-0,081;-0,036;;-0,041;
2023-02-21;;;;;;;;;;;;;;;;;;
2023-02-22;-0,043;-0,060;-0,064;-0,040;-0,013;-0,093;-0,041;-0,008;-0,080;-0,071;-0,090;-0,060;-0,116;-0,089;-0,036;-0,127;-0,044;
2023-02-23;;;;;;;;;;;;;;;;;;
2023-02-24;-0,047;-0,059;-0,064;-0,040;-0,007;-0,093;-0,041;-0,007;-0,077;-0,072;-0,093;-0,061;-0,117;-0,087;-0,036;-0,128;-0,044;
2023-02-27;-0,044;-0,059;-0,064;-0,040;-0,006;-0,092;-0,046;-0,009;-0,075;;;;;;;;;
2023-02-28;-0,044;-0,059;-0,064;-0,040;-0,009;-0,095;-0,050;-0,009;-0,076;-0,071;-0,090;-0,061;-0,115;-0,089;-0,036;-0,127;-0,045;
2023-03-01;-0,046;-0,059;-0,064;-0,040;-0,001;-0,093;-0,040;-0,014;-0,069;-0,070;-0,088;-0,060;-0,115;-0,086;-0,036;-0,128;-0,045;
2023-03-02;-0,045;-0,059;-0,064;-0,040;-0,001;-0,089;-0,040;-0,014;-0,069;-0,070;-0,089;-0,060;-0,116;-0,085;-0,036;-0,128;-0,044;
2023-03-03;;;;;;;;;;;;;;;;;;
2023-03-06;-0,040;-0,059;-0,064;-0,040;0,005;-0,081;-0,034;-0,008;-0,064;-0,065;-0,083;-0,057;-0,106;-0,075;-0,036;-0,117;-0,044;
2023-03-07;-0,042;-0,059;-0,064;-0,040;0,006;-0,083;-0,029;-0,009;-0,064;-0,063;-0,080;-0,056;-0,103;-0,070;-0,036;-0,114;-0,043;
2023-03-08;-0,043;-0,059;-0,065;-0,040;0,005;-0,084;-0,033;-0,009;-0,068;-0,065;-0,082;-0,056;-0,104;-0,066;-0,036;-0,116;-0,043;
2023-03-09;-0,043;-0,059;-0,065;-0,039;0,004;-0,088;-0,034;-0,016;-0,068;-0,064;-0,080;-0,056;-0,101;-0,059;-0,036;-0,113;-0,044;
2023-03-10;-0,050;-0,059;-0,066;-0,039;-0,003;-0,097;-0,045;-0,024;-0,075;-0,070;-0,085;-0,058;-0,113;-0,065;-0,036;-0,127;-0,041;
2023-03-13;-0,055;-0,060;-0,067;-0,039;-0,005;-0,097;-0,039;-0,022;-0,078;-0,072;-0,092;-0,056;-0,117;-0,066;-0,035;-0,130;-0,036;
2023-03-14;-0,052;-0,060;-0,068;-0,039;-0,010;-0,091;-0,048;-0,019;-0,076;-0,072;-0,093;-0,058;-0,119;-0,089;-0,035;-0,130;-0,039;
2023-03-15;-0,062;-0,061;-0,068;-0,040;-0,012;-0,091;-0,043;-0,020;-0,084;;;;;;;;;
2023-03-16;-0,059;-0,061;-0,069;-0,040;-0,014;-0,085;-0,050;-0,020;-0,086;-0,076;-0,102;-0,060;-0,119;-0,084;-0,035;-0,128;-0,039;
2023-03-17;-0,063;-0,062;-0,070;-0,040;-0,017;-0,093;-0,051;-0,031;-0,091;-0,077;-0,106;-0,060;-0,119;-0,077;-0,035;-0,128;-0,037;
2023-03-20;-0,061;-0,066;-0,077;-0,040;-0,022;-0,094;-0,059;-0,032;-0,091;-0,077;-0,102;-0,059;-0,122;-0,088;-0,035;-0,131;-0,036;
2023-03-21;-0,057;-0,064;-0,073;-0,040;-0,025;-0,094;-0,063;-0,038;-0,091;-0,076;-0,099;-0,059;-0,121;;-0,035;-0,131;-0,037;
2023-03-22;-0,057;-0,063;-0,071;-0,040;-0,025;-0,100;-0,059;-0,048;-0,090;-0,074;-0,095;-0,059;-0,116;-0,084;-0,036;-0,126;-0,039;
